Planner,Domain,Instance,S0,S1,S2,S3
bfws,barman,instance-01.pddl,0.9615151909493754,0.9770638972322158,0.991861063986584,1.0
bfws,barman,instance-02.pddl,0.9649502877912061,0.9973491537365798,1.0,0.9895118275907004
bfws,barman,instance-03.pddl,0.9282344820339054,1.0,0.9709974279529239,0.9963246484798496
bfws,barman,instance-04.pddl,0.7689092666034256,0.7904472986998907,1.0,0.7986273745821788
bfws,barman,instance-07.pddl,0.9562415216343427,1.0,0.9828675060480934,0.9962540026553526
bfws,barman,instance-08.pddl,0.9549166520283936,0.9816252971857489,0.9913180196315449,1.0
bfws,barman,instance-09.pddl,0.9484157279412084,0.9799169321604694,0.9785871058352491,1.0
bfws,barman,instance-11.pddl,0.9706424504865538,0.9991892767125555,0.9945467078248487,1.0
bfws,barman,instance-12.pddl,0.967090416089243,0.9792502733588251,0.9913201815628028,1.0
bfws,barman,instance-13.pddl,0.9095797520163645,0.9239735797843256,1.0,0.9398031617614155
bfws,barman,instance-14.pddl,0.631688494300394,0.974112031297217,0.9869448616013519,1.0
bfws,barman,instance-16.pddl,0.9644509788435403,0.9854795792954245,0.9974653502382436,1.0
bfws,barman,instance-17.pddl,0.9707858086996085,0.9791537553361618,0.9899893876496817,1.0
bfws,barman,instance-18.pddl,0.9000227084688859,0.9844427352768716,0.970850990155217,1.0
bfws,barman,instance-19.pddl,0.6171650251465123,0.6297854584959768,1.0,0.633503852609491
bfws,depots,instance-01.pddl,0.9088017353017049,0.906877411615964,1.0,0.9915006202217586
bfws,depots,instance-02.pddl,0.8978934768946281,0.8948057580922555,1.0,0.9770686535099934
bfws,depots,instance-03.pddl,0.9015298317896273,0.9011303008566333,0.9855999123984135,1.0
bfws,depots,instance-04.pddl,0.8970960435569626,0.9033493432374722,1.0,0.9981115596777017
bfws,depots,instance-07.pddl,0.8918539992591069,0.8953429453017442,1.0,0.968759084189501
bfws,depots,instance-08.pddl,0.9123760233627001,0.9064176223128617,1.0,0.9870219934227937
bfws,depots,instance-09.pddl,0.40918748079502315,0.9292474084119429,1.0,0.9932923619067844
bfws,depots,instance-11.pddl,0.8998809119165823,0.5437711649577147,0.9665188526381853,1.0
bfws,depots,instance-12.pddl,0.9245880358229012,0.9532724380066988,1.0,0.9947579638121186
bfws,depots,instance-13.pddl,0.9050701831546265,0.9114892823603319,1.0,0.9725559677470413
bfws,depots,instance-14.pddl,0.9012117293066891,0.9289709296188212,1.0,0.9744331496021613
bfws,depots,instance-16.pddl,0.9083967209135168,0.9146875910547672,1.0,0.9803487442355198
bfws,depots,instance-17.pddl,0.8721158396024433,0.908365410484264,1.0,0.9511222192081663
bfws,depots,instance-18.pddl,0.9027023442079662,0.9468729585470248,1.0,0.9947632730629293
bfws,depots,instance-19.pddl,0.5413579939251347,0.9304677988857315,1.0,0.557046555161271
bfws,ricochet-robots,instance-01.pddl,0.9141924813493729,0.8767579899731528,1.0,0.9599071730444341
bfws,ricochet-robots,instance-02.pddl,0.9921547514799294,0.96623711239337,0.9964134536313297,1.0
bfws,ricochet-robots,instance-03.pddl,0.9837884572575991,0.9929847052138916,0.997057817096402,1.0
bfws,ricochet-robots,instance-04.pddl,0.9342917452988728,0.0,1.0,0.9313814212559584
bfws,ricochet-robots,instance-07.pddl,0.9311904258956692,0.9211967382368674,1.0,0.9813682793075476
bfws,ricochet-robots,instance-08.pddl,1.0,0.9171057865101725,0.9896967787511972,0.9856394530880812
bfws,ricochet-robots,instance-09.pddl,0.9146428641423987,1.0,0.9699273760503135,0.9567711534210569
bfws,ricochet-robots,instance-11.pddl,0.9637430335713953,0.0,0.9809672668087853,1.0
bfws,ricochet-robots,instance-12.pddl,0.935186992490068,1.0,0.9585319633177819,0.9593808039415209
bfws,ricochet-robots,instance-13.pddl,0.9439743597541013,0.9426974398278263,0.9738581097114436,1.0
bfws,ricochet-robots,instance-14.pddl,0.0,0.0,0.0,0.0
bfws,ricochet-robots,instance-16.pddl,0.8875294112939415,0.9304932874424684,1.0,0.9767565689845511
bfws,ricochet-robots,instance-17.pddl,0.0,0.9235094513049529,1.0,0.9074556621404921
