,barman_for_bfws,barman_for_lama,barman_for_decstar,barman_for_madagascar,depots_for_bfws,depots_for_lama,depots_for_decstar,depots_for_madagascar,ricochet-robots_for_bfws,ricochet-robots_for_lama,ricochet-robots_for_decstar,ricochet-robots_for_madagascar,snake_for_bfws,snake_for_lama,snake_for_decstar,snake_for_madagascar,visitall_for_bfws,visitall_for_lama,visitall_for_decstar,visitall_for_madagascar
bfws,6.882,6.8803,N/A,N/A,11.2722,10.8604,11.6848,11.1732,9.2915,10.2354,N/A,N/A,4.5937,5.2623,4.5979,N/A,12.9933,12.1034,N/A,N/A
lama,14.5857,14.8943,N/A,N/A,10.0628,10.3852,10.1632,10.1009,N/A,4.6911,N/A,N/A,N/A,1.1874,1.1811,N/A,N/A,10.3047,N/A,N/A
decstar,1.9853,1.9899,1.9885,N/A,8.7708,8.7582,8.777,8.7507,N/A,4.9446,4.9437,N/A,N/A,1.755,1.7664,N/A,N/A,0.0,0.0,N/A
madagascar,1.617,1.0939,N/A,1.9223,14.3019,14.3188,14.6768,14.8465,N/A,0.0,N/A,0.0,N/A,3.3543,4.3641,3.7246,N/A,0.0,N/A,0.0
