,barman_for_bfws,barman_for_lama,barman_for_decstar,barman_for_madagascar,depots_for_bfws,depots_for_lama,depots_for_decstar,depots_for_madagascar,ricochet-robots_for_bfws,ricochet-robots_for_lama,ricochet-robots_for_decstar,ricochet-robots_for_madagascar,snake_for_bfws,snake_for_lama,snake_for_decstar,snake_for_madagascar,visitall_for_bfws,visitall_for_lama,visitall_for_decstar,visitall_for_madagascar
bfws,13.5786,13.9031,14.2196,N/A,13.9441,13.4339,14.348,13.6438,9.8214,11.2463,N/A,N/A,7.2277,6.2819,7.1354,7.9685,14.3231,12.5182,N/A,N/A
lama,14.5998,14.6608,14.5827,N/A,14.3469,14.4371,14.5897,14.2121,N/A,5.8937,N/A,N/A,N/A,1.9515,1.9329,1.9857,12.47,14.0013,N/A,N/A
decstar,3.9637,3.9667,3.9762,N/A,13.6272,13.745,13.8693,13.6144,N/A,4.9068,4.9817,N/A,N/A,2.8846,2.826,2.9903,0.0,0.0,0.0,N/A
madagascar,2.0122,4.3135,4.7928,2.0331,14.2553,14.0447,14.5104,14.3489,N/A,0.0,N/A,0.0,N/A,3.2907,4.925,5.4438,0.0,0.0,N/A,0.0
