Planner,Domain,Instance,T_star,Source_Stage
lama,barman,instance-04.pddl,15.055427,Feedback_Loop1 (GPT-5.4)
lama,barman,instance-07.pddl,2.116275,Feedback_Loop2 (DeepSeek-R1)
lama,barman,instance-08.pddl,3.329221,Feedback_Loop2 (DeepSeek-R1)
lama,barman,instance-09.pddl,3.170364,Feedback_Loop3 (DeepSeek-R1)
lama,barman,instance-11.pddl,3.028159,Feedback_Loop3 (DeepSeek-R1)
lama,barman,instance-12.pddl,3.451794,Feedback_Loop2 (Claude Opus 4.6)
lama,barman,instance-13.pddl,4.599494,Arch_Aware (DeepSeek-R1)
lama,barman,instance-14.pddl,1.56669,Feedback_Loop1 (DeepSeek-R1)
lama,barman,instance-16.pddl,3.060755,Arch_Aware (DeepSeek-R1)
lama,barman,instance-17.pddl,1.412176,Feedback_Loop2 (DeepSeek-R1)
lama,barman,instance-18.pddl,1.778003,Arch_Aware (DeepSeek-R1)
lama,barman,instance-19.pddl,3.08722,Feedback_Loop2 (Claude Opus 4.6)
lama,depots,instance-01.pddl,0.593492,Arch_Aware (DeepSeek-R1)
lama,depots,instance-02.pddl,0.603006,Arch_Aware (DeepSeek-R1)
lama,depots,instance-03.pddl,0.71934,Arch_Aware (DeepSeek-R1)
lama,depots,instance-04.pddl,0.764925,Arch_Aware (DeepSeek-R1)
lama,depots,instance-07.pddl,0.667625,Arch_Aware (DeepSeek-R1)
lama,depots,instance-08.pddl,1.106661,Arch_Aware (DeepSeek-R1)
lama,depots,instance-09.pddl,3.042451,Arch_Aware (DeepSeek-R1)
lama,depots,instance-11.pddl,2.406425,Arch_Aware (DeepSeek-R1)
lama,depots,instance-12.pddl,6.164879,Feedback_Loop2 (Gemini 3.1 Pro)
lama,depots,instance-13.pddl,0.820642,Arch_Aware (DeepSeek-R1)
lama,depots,instance-14.pddl,1.04094,Arch_Aware (DeepSeek-R1)
lama,depots,instance-16.pddl,0.848448,Arch_Aware (DeepSeek-R1)
lama,depots,instance-17.pddl,1.173654,Arch_Aware (DeepSeek-R1)
lama,depots,instance-18.pddl,2.208287,Cross_Test (Claude Opus 4.6)
lama,depots,instance-19.pddl,2.226147,Arch_Aware (DeepSeek-R1)
lama,ricochet-robots,instance-01.pddl,187.863052,Feedback_Loop2 (GPT-5.4)
lama,ricochet-robots,instance-02.pddl,265.928599,General (Gemini 3.1 Pro)
lama,ricochet-robots,instance-03.pddl,104.522905,General (Gemini 3.1 Pro)
lama,ricochet-robots,instance-04.pddl,UNSOLVED,N/A
lama,ricochet-robots,instance-07.pddl,86.956337,General (Gemini 3.1 Pro)
lama,ricochet-robots,instance-08.pddl,348.67077,General (Gemini 3.1 Pro)
lama,ricochet-robots,instance-09.pddl,UNSOLVED,N/A
lama,ricochet-robots,instance-11.pddl,UNSOLVED,N/A
lama,ricochet-robots,instance-12.pddl,UNSOLVED,N/A
lama,ricochet-robots,instance-13.pddl,65.677365,General (Gemini 3.1 Pro)
lama,ricochet-robots,instance-14.pddl,337.273563,General (Gemini 3.1 Pro)
lama,ricochet-robots,instance-16.pddl,UNSOLVED,N/A
lama,ricochet-robots,instance-17.pddl,UNSOLVED,N/A
lama,ricochet-robots,instance-18.pddl,UNSOLVED,N/A
lama,ricochet-robots,instance-19.pddl,UNSOLVED,N/A
lama,snake,instance-01.pddl,5.601031,Feedback_Loop1 (DeepSeek-R1)
lama,snake,instance-02.pddl,153.363042,Feedback_Loop1 (DeepSeek-R1)
lama,snake,instance-03.pddl,UNSOLVED,N/A
lama,snake,instance-04.pddl,UNSOLVED,N/A
lama,snake,instance-07.pddl,UNSOLVED,N/A
lama,snake,instance-08.pddl,UNSOLVED,N/A
lama,snake,instance-09.pddl,UNSOLVED,N/A
lama,snake,instance-11.pddl,UNSOLVED,N/A
lama,snake,instance-12.pddl,UNSOLVED,N/A
lama,snake,instance-13.pddl,UNSOLVED,N/A
lama,snake,instance-14.pddl,UNSOLVED,N/A
lama,snake,instance-16.pddl,UNSOLVED,N/A
lama,snake,instance-17.pddl,UNSOLVED,N/A
lama,snake,instance-18.pddl,UNSOLVED,N/A
lama,snake,instance-19.pddl,UNSOLVED,N/A
lama,visitall,instance-01.pddl,3.544467,Feedback_Loop2 (Claude Opus 4.6)
lama,visitall,instance-02.pddl,3.994296,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-03.pddl,4.545386,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-04.pddl,5.04861,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-07.pddl,28.14733,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-08.pddl,30.50419,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-09.pddl,32.645558,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-11.pddl,37.733993,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-12.pddl,40.152366,Feedback_Loop2 (Claude Opus 4.6)
lama,visitall,instance-13.pddl,42.320013,Feedback_Loop3 (Claude Opus 4.6)
