Planner,Domain,Instance,IPC_Score,LLM
decstar,depots,instance-04.pddl,0.5827426587661534,Claude Opus 4.6
decstar,depots,instance-07.pddl,0.6433037308421686,Claude Opus 4.6
decstar,depots,instance-08.pddl,0.6126991502272692,GPT-5.4
decstar,depots,instance-09.pddl,0.33572982495830694,Claude Opus 4.6
decstar,depots,instance-11.pddl,0.5720081755488551,Claude Opus 4.6
decstar,depots,instance-12.pddl,0.0,GPT-5.4
decstar,depots,instance-13.pddl,0.6233237131546636,Gemini 3.1 Pro
decstar,depots,instance-14.pddl,0.6214705636529495,GPT-5.4
decstar,depots,instance-16.pddl,0.6182600433854527,Claude Opus 4.6
decstar,depots,instance-17.pddl,0.645152708100774,Gemini 3.1 Pro
decstar,depots,instance-18.pddl,0.726701697860635,Claude Opus 4.6
decstar,depots,instance-19.pddl,0.5840089710153805,Claude Opus 4.6
decstar,ricochet-robots,instance-01.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-02.pddl,0.9686288754996393,Gemini 3.1 Pro
decstar,ricochet-robots,instance-03.pddl,0.9827844171285738,Gemini 3.1 Pro
decstar,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-07.pddl,0.9964317459862605,Gemini 3.1 Pro
decstar,ricochet-robots,instance-08.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-09.pddl,0.9940305224569512,Gemini 3.1 Pro
decstar,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-12.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-13.pddl,0.9902050261560102,Gemini 3.1 Pro
decstar,ricochet-robots,instance-14.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-16.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-17.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-18.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-19.pddl,0.0,GPT-5.4
decstar,snake,instance-01.pddl,0.9119597295006299,DeepSeek-R1
decstar,snake,instance-02.pddl,0.43411943276229364,DeepSeek-R1
decstar,snake,instance-03.pddl,0.41645290459422846,DeepSeek-R1
decstar,snake,instance-04.pddl,0.0,GPT-5.4
decstar,snake,instance-07.pddl,0.0,GPT-5.4
decstar,snake,instance-08.pddl,0.0,GPT-5.4
decstar,snake,instance-09.pddl,0.0,GPT-5.4
decstar,snake,instance-11.pddl,0.0,GPT-5.4
decstar,snake,instance-12.pddl,0.0,GPT-5.4
decstar,snake,instance-13.pddl,0.0,GPT-5.4
decstar,snake,instance-14.pddl,0.0,GPT-5.4
decstar,snake,instance-16.pddl,0.0,GPT-5.4
decstar,snake,instance-17.pddl,0.0,GPT-5.4
decstar,snake,instance-18.pddl,0.0,GPT-5.4
decstar,snake,instance-19.pddl,0.0,GPT-5.4
decstar,visitall,instance-01.pddl,0.0,GPT-5.4
decstar,visitall,instance-02.pddl,0.0,GPT-5.4
decstar,visitall,instance-03.pddl,0.0,GPT-5.4
decstar,visitall,instance-04.pddl,0.0,GPT-5.4
decstar,visitall,instance-07.pddl,0.0,GPT-5.4
decstar,visitall,instance-08.pddl,0.0,GPT-5.4
decstar,visitall,instance-09.pddl,0.0,GPT-5.4
decstar,visitall,instance-11.pddl,0.0,GPT-5.4
decstar,visitall,instance-12.pddl,0.0,GPT-5.4
decstar,visitall,instance-13.pddl,0.0,GPT-5.4
decstar,visitall,instance-14.pddl,0.0,GPT-5.4
decstar,visitall,instance-16.pddl,0.0,GPT-5.4
decstar,visitall,instance-17.pddl,0.0,GPT-5.4
decstar,visitall,instance-18.pddl,0.0,GPT-5.4
decstar,visitall,instance-19.pddl,0.0,GPT-5.4
lama,barman,instance-01.pddl,0.9369263505423632,Gemini 3.1 Pro
lama,barman,instance-02.pddl,0.9550925983035992,Gemini 3.1 Pro
lama,barman,instance-03.pddl,0.9699323045070506,Gemini 3.1 Pro
lama,barman,instance-04.pddl,0.9870877283255491,Gemini 3.1 Pro
lama,barman,instance-07.pddl,0.9527169200784241,Gemini 3.1 Pro
lama,barman,instance-08.pddl,0.9633217157297415,Gemini 3.1 Pro
