Planner,Domain,Instance,IPC_Score,LLM
decstar,depots,instance-04.pddl,0.9506687875810014,Claude Opus 4.6
decstar,depots,instance-07.pddl,0.9347621304150762,Claude Opus 4.6
decstar,depots,instance-08.pddl,0.9580945503442727,GPT-5.4
decstar,depots,instance-09.pddl,0.9997015123279964,Claude Opus 4.6
decstar,depots,instance-11.pddl,0.9812603283432145,Claude Opus 4.6
decstar,depots,instance-12.pddl,0.0,GPT-5.4
decstar,depots,instance-13.pddl,0.9479567241391218,Gemini 3.1 Pro
decstar,depots,instance-14.pddl,0.9695547092867715,GPT-5.4
decstar,depots,instance-16.pddl,0.9667114510395828,Claude Opus 4.6
decstar,depots,instance-17.pddl,0.9451376331534617,Gemini 3.1 Pro
decstar,depots,instance-18.pddl,0.9771012134510209,Claude Opus 4.6
decstar,depots,instance-19.pddl,0.9634637702057736,Claude Opus 4.6
decstar,ricochet-robots,instance-01.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-02.pddl,0.9943143019287571,Gemini 3.1 Pro
decstar,ricochet-robots,instance-03.pddl,0.9827844171285738,Gemini 3.1 Pro
decstar,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-07.pddl,0.9964317459862605,Gemini 3.1 Pro
decstar,ricochet-robots,instance-08.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-09.pddl,0.9940305224569512,Gemini 3.1 Pro
decstar,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-12.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-13.pddl,0.9902050261560102,Gemini 3.1 Pro
decstar,ricochet-robots,instance-14.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-16.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-17.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-18.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-19.pddl,0.0,GPT-5.4
decstar,snake,instance-01.pddl,0.97903177643997,DeepSeek-R1
decstar,snake,instance-02.pddl,0.9951864628073169,DeepSeek-R1
decstar,snake,instance-03.pddl,0.9955487324303296,DeepSeek-R1
decstar,snake,instance-04.pddl,0.0,GPT-5.4
decstar,snake,instance-07.pddl,0.0,GPT-5.4
decstar,snake,instance-08.pddl,0.0,GPT-5.4
decstar,snake,instance-09.pddl,0.0,GPT-5.4
decstar,snake,instance-11.pddl,0.0,GPT-5.4
decstar,snake,instance-12.pddl,0.0,GPT-5.4
decstar,snake,instance-13.pddl,0.0,GPT-5.4
decstar,snake,instance-14.pddl,0.0,GPT-5.4
decstar,snake,instance-16.pddl,0.0,GPT-5.4
decstar,snake,instance-17.pddl,0.0,GPT-5.4
decstar,snake,instance-18.pddl,0.0,GPT-5.4
decstar,snake,instance-19.pddl,0.0,GPT-5.4
