Domain,LLM,Target_Planner,Coverage_Stage0,Coverage_Stage2,Delta_Coverage,Mean_IPC_Gain,Median_IPC_Gain,Wilcoxon_Stat,Wilcoxon_P_Value,Condition_A_StatSig,Condition_B_PractSig,Condition_C_Coverage,IMPROVEMENT_DETECTED,Failed_Condition,Timestamp,Raw_T_Star_Trace,Raw_Gains_Trace,Raw_Baseline_Scores,Raw_Stage2_Scores
snake,claude-opus-4-6,bfws,0.533333,0.533333,0.0,-0.022495,0.0,2.0,0.992188,False,False,True,False,"A(Stat), B(Prac)",2026-05-12T10:43:22.128715,"[3.404625, 36.85394, 46.158731, 70.871636, 133.709304, 194.635307, 250.535657, 299.767597, null, null, null, null, null, null, null]","[-0.004183866631978894, -0.13272111200011427, -0.07931807084560472, -0.04561543471216778, 0.00835677777085253, -0.01089850053857555, -0.05121902945742973, -0.02182455948687756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9912005904819194, 1.0, 0.960596773519536, 0.9256620844729959, 0.9178340192654137, 0.9501836943862867, 0.9633611911628679, 0.9603623444202007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9870167238499405, 0.8672788879998857, 0.8812787026739313, 0.8800466497608281, 0.9261907970362663, 0.9392851938477111, 0.9121421617054382, 0.9385377849333232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
visitall,claude-opus-4-6,decstar,0.0,0.0,0.0,0.0,0.0,N/A,1.0,False,False,True,False,"A(Stat), B(Prac)",2026-05-12T10:43:22.147482,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
visitall,claude-opus-4-6,madagascar,0.0,0.0,0.0,0.0,0.0,N/A,1.0,False,False,True,False,"A(Stat), B(Prac)",2026-05-12T10:43:22.166402,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
snake,claude-opus-4-6,lama,0.133333,0.133333,0.0,0.005699,0.0,3.0,0.25,True,True,True,True,N/A,2026-05-12T10:43:22.185654,"[5.764667, 155.558424, null, null, null, null, null, null, null, null, null, null, null, null, null]","[0.07135173538099715, 0.014128717166427607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9147428638502313, 0.969185452274972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9860945992312284, 0.9833141694413996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
visitall,gemini-3.1-pro-preview-customtools,bfws,1.0,1.0,0.0,-0.047126,-0.060811,20.0,0.990967,False,False,True,False,"A(Stat), B(Prac)",2026-05-12T10:43:22.206689,"[1.441655, 1.628475, 1.663267, 1.865653, 10.175253, 11.605862, 12.07922, 17.182294, 17.871734, 18.169118, 27.961117, 23.169397, 26.63397, 39.779946, 30.367433]","[0.1328784620025385, 0.012622098101312873, 0.05360445668136593, -0.003533443275513748, -0.06576196110882415, -0.11859334966074753, -0.1426392776717902, -0.04533401948709803, -0.08497759813206252, -0.060811182101644046, -0.058311204615858814, -0.11345745800252138, -0.06025195165018571, -0.08509022618058937, -0.06723655914727567]","[0.8671215379974615, 0.9701417278538707, 0.936385135366325, 0.9921264966768438, 0.9563351696856085, 0.9868046882487658, 0.9900130621138621, 0.9417165398025863, 0.9775216684522817, 0.9192872770778818, 0.9564798748908078, 0.9766578937888395, 0.9460444030816199, 0.9876187328925474, 0.9705566885018289]","[1.0, 0.9827638259551835, 0.9899895920476909, 0.9885930534013301, 0.8905732085767843, 0.8682113385880182, 0.8473737844420719, 0.8963825203154883, 0.8925440703202192, 0.8584760949762378, 0.898168670274949, 0.8632004357863181, 0.8857924514314341, 0.9025285067119581, 0.9033201293545532]"
visitall,deepseek-reasoner,bfws,1.0,1.0,0.0,-0.074676,-0.098833,14.0,0.997314,False,False,True,False,"A(Stat), B(Prac)",2026-05-12T10:43:22.227482,"[1.441655, 1.628475, 1.663267, 1.865653, 10.175253, 11.605862, 12.07922, 17.182294, 17.871734, 18.169118, 27.961117, 23.169397, 26.63397, 39.779946, 30.367433]","[0.11690749473306017, 0.0006205107594704495, 0.02294652604950187, -0.04339909379499307, -0.09883347811262755, -0.1406985833131591, -0.15524620406528122, -0.0749789871245563, -0.11666648921091027, -0.06981143040596893, -0.08886950661256099, -0.13688915761694842, -0.10089254796716651, -0.12005036222229482, -0.11428543353225085]","[0.8671215379974615, 0.9701417278538707, 0.936385135366325, 0.9921264966768438, 0.9563351696856085, 0.9868046882487658, 0.9900130621138621, 0.9417165398025863, 0.9775216684522817, 0.9192872770778818, 0.9564798748908078, 0.9766578937888395, 0.9460444030816199, 0.9876187328925474, 0.9705566885018289]","[0.9840290327305217, 0.9707622386133411, 0.9593316614158268, 0.9487274028818508, 0.857501691572981, 0.8461061049356067, 0.8347668580485809, 0.86673755267803, 0.8608551792413714, 0.8494758466719129, 0.8676103682782468, 0.8397687361718911, 0.8451518551144533, 0.8675683706702526, 0.856271254969578]"
ricochet-robots,gpt-5.4-2026-03-05,bfws,0.733333,0.6,-0.133333,-0.145651,-0.017658,4.0,0.997559,False,False,False,False,"A(Stat), B(Prac), C(Cov)",2026-05-12T10:43:22.247763,"[110.747201, 214.030221, 10.776984, 288.375605, 129.462234, 30.037134, 27.715418, 332.917744, 118.440422, 254.998558, null, 296.251477, 250.350337, 211.121752, null]","[-0.01293109028555628, -0.03441693316215577, -0.017658340057916888, -0.9342917452988728, -0.03132629015281141, -0.1140365087208276, -0.05014424932623618, -0.9821070091211659, 0.012213592270861162, -0.035270361116316096, 0.0, 0.015206930360834647, 0.0, 0.0, 0.0]","[0.9141924813493729, 1.0, 0.9892412018960028, 0.9342917452988728, 0.9311904258956692, 1.0, 0.9146428641423987, 0.9821070091211659, 0.935186992490068, 0.9685162733615456, 0.0, 0.9505482544050555, 0.0, 0.0, 0.0]","[0.9012613910638166, 0.9655830668378442, 0.971582861838086, 0.0, 0.8998641357428578, 0.8859634912791724, 0.8644986148161625, 0.0, 0.9474005847609291, 0.9332459122452295, 0.0, 0.9657551847658902, 0.0, 0.0, 0.0]"
snake,gpt-5.4-2026-03-05,decstar,0.2,0.2,0.0,7e-05,0.0,3.0,0.625,False,True,True,False,A(Stat),2026-05-12T10:43:22.267929,"[3.848897, 95.23599, 148.534933, null, null, null, null, null, null, null, null, null, null, null, null]","[0.005729248240077811, 0.004832229289075118, -0.009514105611363566, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9015756775233511, 0.9364717048454266, 0.9595765863099995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9073049257634289, 0.9413039341345018, 0.950062480698636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
snake,gpt-5.4-2026-03-05,madagascar,0.4,0.333333,-0.066667,-0.009177,0.0,11.0,0.5,False,False,False,False,"A(Stat), B(Prac), C(Cov)",2026-05-12T10:43:22.287340,"[4.016503, 5.199251, 6.716634, null, 13.67793, 112.382252, 41.580073, 38.61242, 242.022148, null, null, 264.586642, null, null, null]","[0.05957280420143296, 0.5030844607703675, 0.29922031819472084, 0.0, -0.016416564900056496, 0.0, 0.0, -0.07815638477320674, -0.9049670350435342, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.903020334935343, 0.4969155392296325, 0.5291872081871992, 0.0, 0.8891625635539413, 0.0, 0.0, 0.8831792672530613, 0.9049670350435342, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9625931391367759, 1.0, 0.8284075263819201, 0.0, 0.8727459986538848, 0.0, 0.0, 0.8050228824798545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ricochet-robots,claude-opus-4-6,bfws,0.733333,0.733333,0.0,-0.039294,-0.046603,24.0,0.936401,False,False,True,False,"A(Stat), B(Prac)",2026-05-12T10:43:22.308150,"[110.747201, 214.030221, 10.776984, 288.375605, 129.462234, 30.037134, 27.715418, 332.917744, 118.440422, 254.998558, null, 296.251477, 250.350337, 211.121752, null]","[-0.058543993670183925, -0.046602612949652844, -0.046628829531324856, -0.9342917452988728, -0.06792267429802246, -0.1073598894536405, -0.04383423792490149, -0.9821070091211659, -0.04355579940946208, -0.04745173717830531, 0.0, 0.04578633698027912, 0.880516676158876, 0.862581945490552, 0.0]","[0.9141924813493729, 1.0, 0.9892412018960028, 0.9342917452988728, 0.9311904258956692, 1.0, 0.9146428641423987, 0.9821070091211659, 0.935186992490068, 0.9685162733615456, 0.0, 0.9505482544050555, 0.0, 0.0, 0.0]","[0.855648487679189, 0.9533973870503472, 0.942612372364678, 0.0, 0.8632677515976468, 0.8926401105463595, 0.8708086262174972, 0.0, 0.8916311930806059, 0.9210645361832402, 0.0, 0.9963345913853346, 0.880516676158876, 0.862581945490552, 0.0]"
